id,planid,lokplan_id,komnr,kommunenavn,lp_plannr,lp_plannavn,datovedt,bygkunifelt,bygvejledende,doklink
1405895,9706584,9693508,265,Roskilde,691,Boliger ved Gundsø Omsorgscenter i Ågerup,20200617,true,true,https://dokument.plandata.dk/20_9693508_1593162014923.pdf
1415527,12121778,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415528,12121791,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415529,12121786,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415530,12121787,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415531,12121788,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415532,12121789,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415533,12121790,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415534,12121794,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415535,12121784,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415536,12121785,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
1415537,12121906,12121774,740,Silkeborg,14-027,Boligområde ved Sejlgård i Funder,20251216,true,true,https://dokument.plandata.dk/20_12121774_1768309936845.pdf
