"File","Line","Rule","Msg"
"packages/geometry-furniture/src/builders/TreePlanSymbolBuilder.ts","35","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-furniture/src/builders/WardrobePlanSymbolBuilder.ts","34","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-lift/src/LiftTool.ts","36","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-lighting/src/LightingTool.ts","26","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-plumbing/src/PlumbingElevationSymbolBuilder.ts","28","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-plumbing/src/PlumbingPlanSymbolBuilder.ts","30","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-plumbing/src/PlumbingTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-roof/src/RoofSlopeSymbolBuilder.ts","36","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-roof/src/RoofTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-slab/src/SlabPickWallsController.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-slab/src/SlabProfileEditor.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-slab/src/SlabTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-slab/src/ceiling/CeilingTool.ts","24","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-slab/src/floor/FloorTool.ts","28","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-stair/src/HandrailTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-stair/src/StairSymbolTechnicalDrawingBridge.ts","28","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-wall/src/OpeningTool.ts","30","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-wall/src/WallFragmentBuilder.ts","847","no-empty","Empty block statement"
"packages/geometry-wall/src/WallFragmentBuilder.ts","848","no-empty","Empty block statement"
"packages/geometry-wall/src/WallFragmentBuilder.ts","849","no-empty","Empty block statement"
"packages/geometry-wall/src/WallLayerPlanSymbolBuilder.ts","21","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-wall/src/WallTool.ts","3","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-window/src/WindowPlanSymbolBuilder.ts","65","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/geometry-window/src/WindowTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/input-host/src/BaseTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"packages/input-host/src/BeamTool.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
