cd,municipio,n,NM_ALTURA,NM_N_PLTA,NM_OCP_MX,NM_FDO_MX_ED,NM_RTR_FRNT,NM_RTR_LATL,NM_RTR_POST,NM_C_ED_ORD,NM_APRV_BC,footprintAny,heightAndFootprint
136,"SANTORCAZ",210,100.00,100.00,70.00,0.00,52.86,52.86,72.86,20.00,0.00,90.48,70.00
140,"SERRANILLOS DEL VALLE",203,96.06,76.85,72.91,0.00,86.21,86.21,86.21,86.21,0.00,86.21,71.92
043,"COLMENAR DE OREJA",197,46.70,81.73,81.73,0.00,5.08,0.00,0.00,8.12,0.00,81.73,81.73
165,"VALDILECHA",188,96.28,96.28,89.36,48.40,44.68,34.57,13.30,37.23,0.00,96.28,89.36
075,"LOECHES",188,63.30,63.30,28.19,35.11,27.66,24.47,59.57,20.21,20.21,63.30,63.30
101,"OLMEDA DE LAS FUENTES",187,97.86,97.86,12.30,0.00,56.68,56.68,56.68,18.72,0.00,68.98,12.30
093,"NAVACERRADA",177,89.27,89.27,71.19,0.00,66.10,64.97,71.19,0.00,0.00,71.19,71.19
099,"NAVAS DEL REY",173,93.06,93.06,64.16,50.87,56.07,56.07,28.32,93.06,0.00,85.55,85.55
011,"AMBITE",172,98.26,87.79,82.56,0.00,73.26,73.26,89.53,69.19,0.00,89.53,82.56
157,"VALDELAGUNA",167,86.23,86.23,65.87,25.15,33.53,46.71,82.63,0.00,0.00,82.63,65.87
027,"BUITRAGO DEL LOZOYA",165,89.70,89.70,18.18,59.39,37.58,44.85,63.03,37.58,0.00,89.70,68.48
035,"CARABAÑA",162,59.26,91.98,34.57,46.91,37.04,23.46,77.78,53.09,0.00,82.10,81.48
137,"LOS SANTOS DE LA HUMOSA",162,91.98,93.83,37.65,48.77,26.54,75.31,9.88,75.31,0.00,75.31,75.31
120,"RASCAFRÍA",162,80.86,80.86,68.52,2.47,58.02,58.02,58.02,0.00,0.00,80.86,70.99
122,"RIBATEJADA",160,88.75,98.75,80.00,0.00,68.75,79.38,91.25,71.25,0.00,91.25,80.00
034,"CANENCIA",160,100.00,89.38,56.88,30.00,53.75,56.88,59.38,46.88,0.00,89.38,86.88
158,"VALDEMANCO",158,77.85,77.85,39.24,32.91,39.24,75.95,77.85,72.15,0.00,77.85,72.15
159,"VALDEMAQUEDA",151,100.00,100.00,73.51,0.00,83.44,83.44,83.44,0.00,0.00,89.40,73.51
170,"VILLACONEJOS",150,100.00,100.00,0.00,93.33,32.00,100.00,68.00,0.00,0.00,100.00,93.33
135,"SANTA MARÍA DE LA ALAMEDA",143,0.00,93.01,97.20,0.00,0.00,0.00,0.00,76.22,0.00,97.20,93.01
055,"ESTREMERA",139,97.84,80.58,35.97,44.60,37.41,37.41,82.01,0.00,0.00,94.24,80.58
108,"PEDREZUELA",133,59.40,58.65,38.35,0.00,37.59,37.59,37.59,59.40,0.00,38.35,38.35
021,"EL BERRUECO",130,96.92,96.92,96.92,6.92,62.31,90.00,66.15,70.77,0.00,96.92,96.92
061,"GALAPAGAR",127,75.59,99.21,99.21,0.00,75.59,66.14,75.59,95.28,0.00,99.21,99.21
012,"ANCHUELO",127,100.00,72.44,50.39,22.05,44.09,40.94,40.94,62.99,0.00,92.13,72.44
179,"VILLAR DEL OLMO",126,100.00,100.00,69.05,73.02,28.57,28.57,42.86,0.00,0.00,100.00,100.00
111,"PEZUELA DE LAS TORRES",126,71.43,71.43,33.33,31.75,33.33,30.16,30.16,39.68,0.00,65.08,65.08
097,"NAVARREDONDA Y SAN MAMÉS",126,81.75,76.98,85.71,0.00,55.56,55.56,15.87,51.59,0.00,85.71,81.75
143,"SOMOSIERRA",124,45.16,49.19,0.00,0.00,15.32,19.35,19.35,18.55,0.00,19.35,0.00
102,"ORUSCO DE TAJUÑA",122,99.18,78.69,71.31,0.00,49.18,54.10,54.10,23.77,0.00,77.87,71.31
001,"LA ACEBEDA",116,42.24,62.07,42.24,0.00,22.41,22.41,22.41,42.24,0.00,42.24,42.24
155,"VALDARACETE",115,100.00,100.00,64.35,5.22,40.87,47.83,88.70,0.00,0.00,90.43,66.09
118,"PUEBLA DE LA SIERRA",115,53.04,53.04,53.04,0.00,53.04,53.04,53.04,52.17,0.00,53.04,53.04
166,"VALVERDE DE ALCALÁ",114,99.12,78.07,53.51,0.00,49.12,53.51,78.07,0.00,0.00,78.07,53.51
088,"MONTEJO DE LA SIERRA",112,90.18,90.18,62.50,26.79,63.39,63.39,63.39,62.50,0.00,90.18,89.29
124,"ROBLEDILLO DE LA JARA",111,93.69,93.69,37.84,0.00,10.81,37.84,10.81,37.84,0.00,37.84,37.84
025,"BREA DE TAJO",110,93.64,93.64,88.18,0.00,47.27,47.27,47.27,93.64,0.00,88.18,88.18
173,"VILLAMANRIQUE DE TAJO",109,100.00,100.00,50.46,35.78,61.47,62.39,62.39,45.87,0.00,62.39,50.46
114,"PIÑUÉCAR-GANDULLAS",105,54.29,54.29,36.19,0.00,19.05,19.05,19.05,22.86,0.00,55.24,36.19
