ine,name,pop
38053,Villa de Mazo,5131.0
03018,Altea,24592.0
24104,Las Omañas,267.0
45065,La Estrella,251.0
05129,El Mirón,93.0
03102,Pego,10791.0
46186,Paiporta,28136.0
03014,Alicante,366221.0
13011,Almadén,4855.0
42173,Soria,41025.0
09219,Miranda de Ebro,36622.0
10172,Santibáñez el Bajo,711.0
37300,Los Santos,570.0
05207,San Esteban del Valle,735.0
16199,Solera de Gabaldón,32.0
16197,Santa María del Val,55.0
23028,Cazorla,6930.0
37262,Puertas,66.0
31007,Adiós,194.0
11001,Alcalá de los Gazules,5230.0
31074,Cirauqui,473.0
13071,Puertollano,45565.0
02081,Villarrobledo,25400.0
34217,Villalobón,1955.0
34221,Villamediana,177.0
03128,Teulada,12912.0
46194,Picasent,23202.0
19130,Guadalajara,92834.0
16196,Santa María de los Llanos,660.0
16193,San Pedro Palmiches,54.0
22125,Huesca,55454.0
50272,Utebo,19116.0
03133,Torrevieja,98533.0
16194,Santa Cruz de Moya,233.0
49174,Requejo,107.0
46259,Villargordo del Cabriel,588.0
46223,Sedaví,10837.0
02049,Molinicos,754.0
18017,Almuñécar,27544.0
28074,Leganés,195734.0
18140,Motril,59862.0
11032,Sanlúcar de Barrameda,70012.0
28179,Villar del Olmo,2341.0
46097,Cofrentes,1113.0
16013,Algarra,25.0
49202,Santa Eufemia del Barco,169.0
28102,Orusco de Tajuña,1531.0
10189,Torrejoncillo,2743.0
39075,Santander,175425.0
48074,Orduña,4247.0
21079,Zufre,736.0
46165,Masanasa,10607.0
46136,Godelleta,4266.0
37329,Tremedal de Tormes,34.0
19078,Castilforte,57.0
48048,Ibarranguelua,669.0
48058,Mallavia,1106.0
48907,Cortézubi,447.0
48095,Zaldívar,3066.0
48903,Lujua,2364.0
24090,Lucillo,360.0
24054,Cimanes de la Vega,431.0
21041,Huelva,143215.0
22025,Altorricón,1504.0
21001,Alájar,793.0
46249,Utiel,11663.0
16192,San Martín de Boniches,43.0
29091,Torrox,22015.0
45177,Urda,2454.0
06010,Almendral,1202.0
14075,Zuheros,596.0
01063,Zuya,2350.0
10148,Plasencia,40132.0
20901,Mendaro,2028.0
40094,Garcillán,513.0
09011,Alfoz de Bricia,68.0
38012,Fasnia,3145.0
21047,Manzanilla,2214.0
04059,Lubrín,1434.0
30034,Ricote,1197.0
19132,Henche,73.0
16005,Albalate de las Nogueras,261.0
40178,San Cristóbal de la Vega,81.0
46092,Castielfabib,284.0
46169,Mislata,47079.0
12135,Villarreal,53623.0
11035,Tarifa,18613.0
09366,Solarana,73.0
09041,Barrio de Muñó,32.0
35012,Mogán,21172.0
42113,Medinaceli,686.0
31180,Muruzábal,283.0
42016,Aliud,20.0
42029,Baraona,117.0
48018,Berriatúa,1224.0
48038,Gámiz-Fica,1414.0
11022,La Línea de la Concepción,64499.0
29075,Nerja,22132.0
46002,Ador,1755.0
16018,Almonacid del Marquesado,412.0
45155,Santa Ana de Pusa,345.0
22213,Sariñena,4113.0
01002,Amurrio,10364.0
48079,Rigoitia,499.0
48065,Miravalles,4213.0
11007,Barbate,22635.0
29002,Alcaucín,2671.0
05140,Muñomer del Peco,113.0
47162,Tamariz de Campos,85.0
11020,Jerez de la Frontera,213634.0
44090,Cucalón,77.0
19037,Arbancón,157.0
18117,Lanteira,533.0
18128,Marchal,437.0
48911,Ajánguiz,458.0
48041,Gautéguiz de Arteaga,866.0
46233,Sollana,5089.0
44059,Cantavieja,729.0
22225,Tamarite de Litera,3464.0
07018,Deyá,741.0
18133,Molvízar,2689.0
31210,Roncal,206.0
03131,Tormos,323.0
30030,Murcia,479405.0
42175,Suellacabras,32.0
49038,Casaseca de Campeán,88.0
02069,La Roda,15643.0
16113,Iniesta,4567.0
16242,Villaconejos de Trabaque,325.0
01043,Oyón,3476.0
24115,Ponferrada,63186.0
46182,Olocau,2534.0
29902,Villanueva de la Concepción,3296.0
28183,Zarzalejo,1946.0
31907,Zizur Mayor,16510.0
48087,Trucíos,515.0
29071,Moclinejo,1222.0
29084,Ronda,33671.0
14042,Montilla,22305.0
40141,Navalmanzano,1041.0
41018,Brenes,12975.0
02066,La Recueja,215.0
18121,Lobras,139.0
28114,Piñuécar-Gandullas,183.0
13009,Aldea del Rey,1565.0
31212,Sada,130.0
19039,Argecilla,74.0
11004,Algeciras,126589.0
02045,Madrigueras,4670.0
18124,Lújar,491.0
12090,Pina de Montalgrao,121.0
12083,Olocau del Rey,135.0
16106,Horcajo de Santiago,3894.0
31233,Tulebras,159.0
30009,Archena,20908.0
18126,La Malahá,1928.0
18127,Maracena,22294.0
12098,Salsadella,671.0
46209,Rafelguaraf,2395.0
12075,la Mata de Morella,196.0
26089,Logroño,152150.0
20081,Zumaya,10160.0
30015,Caravaca de la Cruz,26126.0
19020,Almadrones,67.0
19034,Anquela del Pedregal,28.0
03002,Agost,5225.0
44122,Híjar,1766.0
19040,Armallones,52.0
19036,Aranzueque,411.0
29069,Marbella,159786.0
29035,Cañete la Real,1569.0
46110,Chirivella,32093.0
18116,Lanjarón,3708.0
04011,Alhama de Almería,3975.0
12074,La Llosa,1033.0
12091,Portell de Morella,155.0
48028,Ea,824.0
48047,Guizaburuaga,196.0
18115,Láchar,3892.0
19031,Angón,8.0
45114,Navamorcuende,581.0
05159,Navalonguilla,182.0
09407,Valmala,24.0
16108,Huelves,105.0
31131,Iza,1459.0
02043,Lezuza,1281.0
02038,La Herrera,308.0
38038,Santa Cruz de Tenerife,211957.0
02044,Liétor,1052.0
02042,Letur,911.0
28060,Fuentidueña de Tajo,2372.0
03056,Cocentaina,11498.0
28134,San Sebastián de los Reyes,96992.0
16072,Castillo de Garcimuñoz,129.0
16097,Henarejos,134.0
16904,Fuentenava de Jábaga,634.0
42043,El Burgo de Osma-Ciudad de Osma,5283.0
02009,Almansa,24615.0
01059,Vitoria,260699.0
16029,Barchín del Hoyo,104.0
16032,Belinchón,453.0
16068,Castillejo de Iniesta,94.0
16157,La Pesquera,228.0
16135,Moya,133.0
16073,Cervera del Llano,220.0
16035,Beteta,253.0
48077,Plencia,4407.0
48069,Munguía,18129.0
02003,Albacete,175400.0
19023,Alocén,151.0
19022,Almonacid de Zorita,667.0
44216,Teruel,36655.0
48042,Gordejuela,1720.0
48029,Echévarri,12038.0
05085,Gil-García,45.0
31159,Lumbier,1330.0
40195,Sepúlveda,979.0
48053,Lauquíniz,1239.0
16039,Buenache de Alarcón,447.0
16056,Cardenete,479.0
06083,Mérida,60225.0
16063,Casas de Guijarro,105.0
16083,Fresneda de Altarejos,35.0
16155,El Peral,660.0
16111,Huerta del Marquesado,155.0
16110,Huerta de la Obispalía,126.0
44237,Urrea de Gaén,455.0
14063,Valenzuela,1030.0
13034,Ciudad Real,76217.0
38049,Valle Gran Rey,4830.0
19271,Tordellego,38.0
37056,La Bouza,48.0
48033,Ereño,275.0
48021,Busturia,1693.0
09380,Terradillos de Esgueva,58.0
05106,Hoyos de Miguel Muñoz,24.0
12141,Zorita del Maestrazgo,118.0
16280,Zarzuela,174.0
06044,Don Benito,37986.0
12028,Benicasim,20539.0
16091,Fuertescusa,65.0
16081,Chumillas,49.0
16126,Mira,917.0
16036,Boniches,135.0
48086,Sopuerta,2820.0
30041,La Unión,21380.0
48914,Arrazua,417.0
48080,Valle de Trápaga,11797.0
31050,Baztán,7851.0
05057,Cebreros,3345.0
02048,Minaya,1381.0
18120,Lentegí,368.0
16121,Las Majadas,214.0
46082,Canet de Berenguer,8297.0
16109,Huérguina,41.0
16047,Cañada Juncosa,213.0
24213,Villamartín de Don Sancho,130.0
11006,Arcos de la Frontera,31267.0
45048,Los Cerralbos,452.0
12040,Castellón de la Plana,183711.0
46084,Cárcer,1795.0
40030,Bernardos,462.0
16158,El Picazo,693.0
16086,Fuente de Pedro Naharro,1290.0
28123,Rivas-Vaciamadrid,103148.0
13066,Pozuelo de Calatrava,4055.0
16045,Canalejas del Arroyo,153.0
16058,Carrascosa de Haro,87.0
48093,Villaro,1292.0
48006,Aránzazu,411.0
37336,Valdemierque,58.0
